@title,HOOS-12
التعليمات: ﯾﻄﻠﺐ ﻣﻨﻚ ھﺬا اﻻﺳﺘﺒﯿﺎن رأﯾﻚ ﺣﻮل ﻣﻔﺼﻞ اﻟﻮرك ﻟﺪﯾﻚ. أﺟﺐ ﻋﻠﻰ ﻛﻞ ﺳﺆال ﺑﻮﺿﻊ ﻋﻼﻣﺔ ﻓﻲ اﻟﻤﺮﺑﻊ اﻟﻤﻨﺎﺳﺐ، ﻣﺮﺑﻊ واﺣﺪ ﻓﻘﻂ ﻟﻜﻞ ﺳﺆال. إذا ﻛﻨﺖ ﻏﯿﺮ ﻣﺘﺄﻛﺪ ﻣﻦ ﻛﯿﻔﯿﺔ اﻹﺟﺎﺑﺔ ﻋﻠﻰ ﺳﺆال، ﯾﺮﺟﻰ إﻋﻄﺎء أﻓﻀﻞ إﺟﺎﺑﺔ ﺗﺴﺘﻄﯿﻊ.
الألم
1- ﻛﻢ ﻣﺮة ﺗﺸﻌﺮ بألم في اﻟﻮرك؟,0- لا توجد,1- طفيفة,2- معتدلة,3- شديدة,4- قصوى
ﻣﺎ ﻣﻘﺪار اﻷﻟﻢ اﻟﺬي ﺷﻌﺮت ﺑﮫ ﻓﻲ اﻟﻮرك ﺧﻼل اﻷﺳﺒﻮع اﻟﻤﺎﺿﻲ أﺛﻨﺎء اﻷﻧﺸﻄﺔ اﻟﺘﺎﻟﯿﺔ؟ :
2- اﻟﻤﺸﻲ ﻋﻠﻰ ﺳﻄﺢ ﻣﺴﺘﻮٍ,0- لا توجد,1- طفيفة,2- معتدلة,3- شديدة,4- قصوى
3- اﻟﺼﻌﻮد أو اﻟﻨﺰول ﻋﻠﻰ اﻟﺪرج,0- لا توجد,1- طفيفة,2- معتدلة,3- شديدة,4- قصوى
4- اﻟﺠﻠﻮس أو اﻻﺳﺘﻠﻘﺎء,0- لا توجد,1- طفيفة,2- معتدلة,3- شديدة,4- قصوى
الوظيفة، الحياة اليومية
اﻷﺳﺌﻠﺔ اﻟﺘﺎﻟﯿﺔ ﺗﺘﻌﻠﻖ ﺑﻮظﯿﻔﺘﻚ اﻟﺒﺪﻧﯿﺔ. ﻧﻌﻨﻲ ﺑﺬﻟﻚ ﻗﺪرﺗﻚ ﻋﻠﻰ اﻟﺘﺤﺮك واﻟﻌﻨﺎﯾﺔ ﺑﻨﻔﺴﻚ. ﻟﻜﻞ ﻣﻦ اﻷﻧﺸﻄﺔ 95. اﻟﺘﺎﻟﯿﺔ، ﯾﺮﺟﻰ ﺗﺤﺪﯾﺪ درﺟﺔ اﻟﺼﻌﻮﺑﺔ اﻟﺘﻲ واﺟﮭﺘﮭﺎ ﻓﻲ اﻷﺳﺒﻮع اﻟﻤﺎﺿﻲ ﺑﺴﺒﺐ اﻟﻮرك.
5- اﻟﻨﮭﻮض ﻣﻦ اﻟﺠﻠﻮس,0- لا توجد,1- طفيفة,2- معتدلة,3- شديدة,4- قصوى
6- الوقوف,0- لا توجد,1- طفيفة,2- معتدلة,3- شديدة,4- قصوى
7- اﻟﺪﺧﻮل/اﻟﺨﺮوج ﻣﻦ اﻟﺴﯿﺎرة,0- لا توجد,1- طفيفة,2- معتدلة,3- شديدة,4- قصوى
8- اﻟﻤﺸﻲ ﻋﻠﻰ ﺳﻄﺢ ﻏﯿﺮ ﻣﺴﺘﻮٍ,0- لا توجد,1- طفيفة,2- معتدلة,3- شديدة,4- قصوى
جودة الحياة
9- ﻛﻢ ﻣﺮة ﺗﺸﻌﺮ ﺑﻤﺸﻜﻠﺔ اﻟﻮرك؟,0- لا توجد,1- طفيفة,2- معتدلة,3- شديدة,4- قصوى
10- ھﻞ ﻗﻤﺖ ﺑﺘﻌﺪﯾﻞ ﻧﻤﻂ ﺣﯿﺎﺗﻚ ﻟﺘﺠﻨﺐ اﻷﻧﺸﻄﺔ اﻟﺘﻲ ﻗﺪ ﺗﻀﺮ ﺑﺎﻟﻮرك؟,0- لا توجد,1- طفيفة,2- معتدلة,3- شديدة,4- قصوى
11- ﻣﺎ ﻣﺪى اﻧﺰﻋﺎﺟﻚ ﻣﻦ ﻧﻘﺺ اﻟﺜﻘﺔ ﻓﻲ اﻟﻮرك؟,0- لا توجد,1- طفيفة,2- معتدلة,3- شديدة,4- قصوى
12- ﺑﺸﻜﻞ ﻋﺎم، ﻛﻢ ھﻲ اﻟﺼﻌﻮﺑﺔ اﻟﺘﻲ ﺗﻮاﺟﮭﮭﺎ ﻣﻊ اﻟﻮرك؟,0- لا توجد,1- طفيفة,2- معتدلة,3- شديدة,4- قصوى
